Symbol,BreakOut,Interval,EndTime,OpenTime,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberOfTrades,TakerBaseAssetVolume,TakerBuyQuoteAssetVolume
GOBTC,False,1d,12/21/2019 2:22:00 PM,1576540800000,0.00000198,0.00000219,0.00000190,0.00000212,70435664.00000000,1576627199999,144.89248856,12419,32941311.00000000,68.33859845
GOBTC,False,1d,12/21/2019 2:22:00 PM,1576627200000,0.00000212,0.00000235,0.00000199,0.00000206,91549570.00000000,1576713599999,202.37805022,14668,39920221.00000000,88.94542323
GOBTC,False,1d,12/21/2019 2:22:00 PM,1576713600000,0.00000206,0.00000226,0.00000199,0.00000216,49628878.00000000,1576799999999,106.66151240,8763,22411850.00000000,48.45201957
GOBTC,False,1d,12/21/2019 2:22:00 PM,1576800000000,0.00000216,0.00000219,0.00000207,0.00000208,18221393.00000000,1576886399999,38.76864864,3613,6641988.00000000,14.23276377
GOBTC,False,1d,12/21/2019 2:22:00 PM,1576886400000,0.00000208,0.00000215,0.00000201,0.00000204,17028087.00000000,1576972799999,35.46798148,3100,5776546.00000000,12.08464120
New Pattern
GOBTC,True,1d,1/4/2020 2:22:00 PM,1577750400000,0.00000151,0.00000158,0.00000149,0.00000153,10653174.00000000,1577836799999,16.29856291,1515,5284477.00000000,8.11511890
GOBTC,True,1d,1/4/2020 2:22:00 PM,1577836800000,0.00000153,0.00000218,0.00000152,0.00000208,132298223.00000000,1577923199999,253.83815268,15539,69102363.00000000,132.33056815
GOBTC,True,1d,1/4/2020 2:22:00 PM,1577923200000,0.00000209,0.00000219,0.00000178,0.00000180,135936308.00000000,1578009599999,269.75468634,15544,59370201.00000000,118.07399615
GOBTC,True,1d,1/4/2020 2:22:00 PM,1578009600000,0.00000180,0.00000210,0.00000172,0.00000202,89693661.00000000,1578095999999,170.17896633,10401,41777002.00000000,79.75365292
GOBTC,True,1d,1/4/2020 2:22:00 PM,1578096000000,0.00000202,0.00000208,0.00000184,0.00000194,82647280.00000000,1578182399999,162.02515194,12651,34334230.00000000,67.67936046
New Pattern
GOBTC,True,2h,1/5/2020 10:00:00 AM,1577786400000,0.00000151,0.00000155,0.00000151,0.00000153,622779.00000000,1577793599999,0.95104897,103,459506.00000000,0.70151615
GOBTC,True,2h,1/5/2020 10:00:00 AM,1577793600000,0.00000153,0.00000154,0.00000151,0.00000153,240597.00000000,1577800799999,0.36681636,155,126536.00000000,0.19359809
GOBTC,True,2h,1/5/2020 10:00:00 AM,1577800800000,0.00000153,0.00000153,0.00000150,0.00000151,189291.00000000,1577807999999,0.28633062,52,59911.00000000,0.09119803
GOBTC,True,2h,1/5/2020 10:00:00 AM,1577808000000,0.00000151,0.00000152,0.00000149,0.00000150,844217.00000000,1577815199999,1.26170840,127,238768.00000000,0.35760537
GOBTC,True,2h,1/5/2020 10:00:00 AM,1577815200000,0.00000150,0.00000153,0.00000149,0.00000153,1068709.00000000,1577822399999,1.61390403,120,687417.00000000,1.03966763
GOBTC,True,2h,1/5/2020 10:00:00 AM,1577822400000,0.00000153,0.00000155,0.00000151,0.00000152,1460089.00000000,1577829599999,2.24818301,203,644142.00000000,0.99353796
GOBTC,True,2h,1/5/2020 10:00:00 AM,1577829600000,0.00000152,0.00000154,0.00000151,0.00000153,449609.00000000,1577836799999,0.68353833,52,230744.00000000,0.35249758
GOBTC,True,2h,1/5/2020 10:00:00 AM,1577836800000,0.00000153,0.00000159,0.00000153,0.00000153,2434704.00000000,1577843999999,3.80220230,291,1470281.00000000,2.30718877
GOBTC,True,2h,1/5/2020 10:00:00 AM,1577844000000,0.00000154,0.00000160,0.00000152,0.00000158,1358835.00000000,1577851199999,2.11895566,253,906263.00000000,1.41963991
GOBTC,True,2h,1/5/2020 10:00:00 AM,1577851200000,0.00000159,0.00000161,0.00000156,0.00000160,846455.00000000,1577858399999,1.33744902,108,579831.00000000,0.91849772
GOBTC,True,2h,1/5/2020 10:00:00 AM,1577858400000,0.00000161,0.00000164,0.00000158,0.00000163,1245848.00000000,1577865599999,2.00070382,209,713723.00000000,1.14848830
GOBTC,True,2h,1/5/2020 10:00:00 AM,1577865600000,0.00000162,0.00000168,0.00000160,0.00000162,5241422.00000000,1577872799999,8.61376463,660,2654242.00000000,4.38770002
GOBTC,True,2h,1/5/2020 10:00:00 AM,1577872800000,0.00000161,0.00000162,0.00000157,0.00000160,2523223.00000000,1577879999999,4.02786156,416,982542.00000000,1.57752790
GOBTC,True,2h,1/5/2020 10:00:00 AM,1577880000000,0.00000160,0.00000171,0.00000160,0.00000165,8861062.00000000,1577887199999,14.85733693,874,5703081.00000000,9.58479167
GOBTC,True,2h,1/5/2020 10:00:00 AM,1577887200000,0.00000166,0.00000170,0.00000165,0.00000170,2038047.00000000,1577894399999,3.40102532,314,1013656.00000000,1.69786315
GOBTC,True,2h,1/5/2020 10:00:00 AM,1577894400000,0.00000169,0.00000208,0.00000166,0.00000194,62616246.00000000,1577901599999,122.47314323,7030,30301194.00000000,58.75591871
GOBTC,True,2h,1/5/2020 10:00:00 AM,1577901600000,0.00000194,0.00000197,0.00000188,0.00000196,8763020.00000000,1577908799999,16.95020265,1135,3520020.00000000,6.82945750
GOBTC,True,2h,1/5/2020 10:00:00 AM,1577908800000,0.00000196,0.00000198,0.00000187,0.00000190,8778164.00000000,1577915999999,16.90525013,1291,3242487.00000000,6.28372222
GOBTC,True,2h,1/5/2020 10:00:00 AM,1577916000000,0.00000190,0.00000218,0.00000188,0.00000208,27591197.00000000,1577923199999,57.35025743,2958,18015043.00000000,37.41977228
GOBTC,True,2h,1/5/2020 10:00:00 AM,1577923200000,0.00000209,0.00000219,0.00000203,0.00000206,15530386.00000000,1577930399999,32.65212349,1600,5630917.00000000,11.89190650
GOBTC,True,2h,1/5/2020 10:00:00 AM,1577930400000,0.00000206,0.00000209,0.00000197,0.00000208,10480221.00000000,1577937599999,21.09214859,1110,4815461.00000000,9.74205642
GOBTC,True,2h,1/5/2020 10:00:00 AM,1577937600000,0.00000208,0.00000209,0.00000197,0.00000198,5795317.00000000,1577944799999,11.68731501,839,1930767.00000000,3.90124602
GOBTC,True,2h,1/5/2020 10:00:00 AM,1577944800000,0.00000197,0.00000198,0.00000191,0.00000194,8127812.00000000,1577951999999,15.82928996,844,2984019.00000000,5.83143760
GOBTC,True,2h,1/5/2020 10:00:00 AM,1577952000000,0.00000193,0.00000200,0.00000193,0.00000198,7204017.00000000,1577959199999,14.18382598,869,4666612.00000000,9.20169629
GOBTC,True,2h,1/5/2020 10:00:00 AM,1577959200000,0.00000198,0.00000199,0.00000193,0.00000197,6386328.00000000,1577966399999,12.50239823,697,2831627.00000000,5.55338652
GOBTC,True,2h,1/5/2020 10:00:00 AM,1577966400000,0.00000198,0.00000209,0.00000198,0.00000201,16349938.00000000,1577973599999,33.35624670,2358,8595429.00000000,17.56767358
GOBTC,True,2h,1/5/2020 10:00:00 AM,1577973600000,0.00000201,0.00000214,0.00000198,0.00000207,21864422.00000000,1577980799999,45.05413154,2150,10673968.00000000,22.08685466
